Producto,Cliente,Cantidad Real,Cantidad Real N,Cantidad Pronosticada,Cantidad Pronosticada N,Diferencia,Diferencia Norm
EXTICAL2,"CALENTADORES DE AMERICA, S.A. DE C.V.",15509,4.24671412924425,38554.0536930145,10.556969795458517,-23045.053693014503,-6.3102556662142675
TCALSEN1,"CALENTADORES DE AMERICA, S.A. DE C.V.",19862,5.996980676328503,24997.2481012705,7.5474782914464065,-5135.248101270499,-1.5504976151179033
PCALG,"CALENTADORES DE AMERICA, S.A. DE C.V.",4800,8.333333333333334,18046.5871969835,31.330880550318575,-13246.587196983499,-22.99754721698524
ARNPCALG,"CALENTADORES DE AMERICA, S.A. DE C.V.",4800,8.333333333333334,18046.5871969835,31.330880550318575,-13246.587196983499,-22.99754721698524
V2SAC,"CALENTADORES DE AMERICA, S.A. DE C.V.",12,4.0,31.8573996795,10.619133226499999,-19.8573996795,-6.619133226499999
ENRCAR4,"CALENTADORES DE AMERICA, S.A. DE C.V.",2015,4.763593380614657,2559.9042897423,6.051783190880142,-544.9042897423001,-1.288189810265485
ENRCADW4,"CALENTADORES DE AMERICA, S.A. DE C.V.",2543,7.848765432098766,4480.7577209464,13.829499138723456,-1937.7577209463998,-5.98073370662469
ENRCAD4,"CALENTADORES DE AMERICA, S.A. DE C.V.",5643,4.831335616438356,2207.7851164237,1.8902269832394691,3435.2148835763,2.9411086331988865
ENRCADW3,"CALENTADORES DE AMERICA, S.A. DE C.V.",3013,7.2427884615384635,2358.0807889035,5.668463434864183,654.9192110965,1.5743250266742805
ENRCAD5,"CALENTADORES DE AMERICA, S.A. DE C.V.",634,3.3020833333333335,2723.6193747383,14.18551757676198,-2089.6193747383,-10.883434243428646
EBIS2AAS,"CALENTADORES DE AMERICA, S.A. DE C.V.",222100,6.940625000000001,181705.5851371416,5.678299535535675,40394.41486285839,1.2623254644643254
BUJCAL06,"CALENTADORES DE AMERICA, S.A. DE C.V.",6300,10.5,16791.0201778387,27.98503362973117,-10491.020177838702,-17.48503362973117
ENRCAD6,"CALENTADORES DE AMERICA, S.A. DE C.V.",211,3.296875,1576.874780812,24.6386684501875,-1365.874780812,-21.3417934501875
ENRCAR3,"CALENTADORES DE AMERICA, S.A. DE C.V.",4505,6.877862595419847,8461.1871219757,12.917842934314045,-3956.1871219756995,-6.039980338894198
BUJCAL07,"CALENTADORES DE AMERICA, S.A. DE C.V.",18498,9.067647058823528,11055.4032353286,5.4193153114355885,7442.5967646714,3.6483317473879397
BUJIA259,WHIRLPOOL CORPORATION,15500,3.875,38588.1244546622,9.64703111366555,-23088.124454662197,-5.77203111366555
BUJIA262,WHIRLPOOL CORPORATION,15500,3.875,38592.3044752771,9.648076118819276,-23092.304475277102,-5.773076118819276
BUJIA323,WHIRLPOOL CORPORATION,17250,3.833333333333333,76363.7125396591,16.96971389770202,-59113.7125396591,-13.13638056436869
BUJIA324,WHIRLPOOL CORPORATION,17250,3.833333333333333,76363.7125396591,16.96971389770202,-59113.7125396591,-13.13638056436869
BUJIA325,WHIRLPOOL CORPORATION,17250,3.833333333333333,76363.7125396591,16.96971389770202,-59113.7125396591,-13.13638056436869
BUJIA326,WHIRLPOOL CORPORATION,17250,3.833333333333333,76927.5621966734,17.09501382148298,-59677.5621966734,-13.261680488149647
BUJIA489,WHIRLPOOL CORPORATION,15500,3.875,59296.2985385463,14.824074634636576,-43796.2985385463,-10.949074634636576
BUJIA331,WHIRLPOOL CORPORATION,272000,13.600000000000001,292816.0162220489,14.640800811102444,-20816.0162220489,-1.040800811102443
BUJIA332,WHIRLPOOL CORPORATION,247500,14.558823529411766,245345.8958102542,14.432111518250247,2154.104189745791,0.1267120111615192
CELDA19,DANTHERM S.P.A. (SOCIETA UNIPERSONALE),24000,1.8461538461538463,124461.0418370728,9.573926295159445,-100461.0418370728,-7.727772449005599
BUJPROR,KOBLENZ ELECTRICA S.A. DE C.V.,444600,9.459574468085107,890344.8365413029,18.94350716045325,-445744.83654130285,-9.483932692368144
BUJPROA,KOBLENZ ELECTRICA S.A. DE C.V.,474000,9.294117647058824,996382.2395800345,19.53690665843205,-522382.2395800345,-10.242789011373224
BUJPROV,KOBLENZ ELECTRICA S.A. DE C.V.,145500,9.238095238095239,245314.7662366478,15.575540713437954,-99814.76623664779,-6.337445475342715
RELKO5A,KOBLENZ ELECTRICA S.A. DE C.V.,12168,8.894736842105264,22095.9542760926,16.152013359716815,-9927.954276092602,-7.257276517611551
EBIS4TSP,"DYNAMIC COOKING SYSTEMS, INC.",3800,6.333333333333333,4676.5001347395,7.7941668912325,-876.5001347395,-1.460833557899167
EBIS4TSP,MODERN HOME PRODUCTS,1000,2.0,9400.0007481154,18.800001496230802,-8400.0007481154,-16.800001496230802
EBIS4TSP,MUSIC CITY METALS,144,2.0,1613.4299430207,22.408749208620833,-1469.4299430207,-20.408749208620833
EBIS4TSP,MACCUILINN CLANCY,400,2.0,3760.000008377,18.800000041885,-3360.000008377,-16.800000041885
EBIS6TSP,"DYNAMIC COOKING SYSTEMS, INC.",4425,4.538461538461538,11701.9805573707,12.002031340893026,-7276.9805573707,-7.463569802431488
EBIS6TSP,MODERN HOME PRODUCTS,1025,1.9523809523809523,9569.2004569489,18.227048489426476,-8544.2004569489,-16.274667537045524
EBIS6TSP,MUSIC CITY METALS,432,1.5,4487.4128546464,15.581294634188888,-4055.4128546464,-14.081294634188888
EBIS6TSP,MACCUILINN CLANCY,375,1.6666666666666665,3384.0000075393,15.040000033507999,-3009.0000075393,-13.373333366841333
EBIS8TSP,"DYNAMIC COOKING SYSTEMS, INC.",525,2.3333333333333335,1584.9377429515,7.044167746451111,-1059.9377429515,-4.710834413117778
TRFP587G,"INDUGLOB, S.A.",3384,8.545454545454545,7164.9809578192,18.093386257119192,-3780.9809578192,-9.547931711664647
TRFD585N,"INDUGLOB, S.A.",4452,7.066666666666666,8486.8390314337,13.471173065767777,-4034.8390314336993,-6.404506399101111
TREFSEN8,"INDUGLOB, S.A.",6048,4.0,22996.9450850926,15.209619765272883,-16948.9450850926,-11.209619765272883
LLED1,"INDUGLOB, S.A.",64800,9.183673469387754,36169.3463720541,5.1260411525019975,28630.653627945903,4.057632316885757
